graph_type,num_vars,algorithm,reference,mae_lb_error,max_lb_error,mae_ub_error,max_ub_error,containment_rate,mean_width_ratio,std_width_ratio,mean_build_time,mean_run_time,mean_total_time,std_total_time,ref_time,avg_induced_width
tree_fr,7,cve,cjt,1.7e-07,1.07e-06,1.8e-07,1.07e-06,0.471429,0.999989,5.2e-05,0.122,511.1308,511.2528,444.8424,0.3339,1.0
tree_fr,7,cve_cm,cjt,0.08129038,0.41981237,0.08152924,0.28277565,0.057143,0.815977,0.185901,0.1211,0.0508,0.1718,0.0073,0.3339,1.0
tree_fr,7,cve_cp,cjt,0.24340398,0.61787687,0.2307612,0.5580875,0.1,2.443186,13.591719,0.121,0.0452,0.1662,0.0062,0.3339,1.0
tree_fr,7,ibp,cjt,1.7e-07,1e-06,1.8e-07,1e-06,0.528571,0.999989,5.2e-05,0.1251,0.0049,0.13,0.0025,0.3339,1.0
tree_fr,8,approxlp,cjt,0.0002462,0.00814675,0.00022419,0.00949796,0.475,0.999463,0.002005,0.1363,0.1817,0.3179,0.0122,0.3945,1.0
tree_fr,8,ariel,cjt,1e-08,1.8e-07,1e-08,2.4e-07,0.7,1.0,0.0,0.0,3.407,3.407,0.6456,0.3945,
tree_fr,8,cve,cjt,2e-07,1.34e-06,2.1e-07,1.37e-06,0.425,0.999981,0.000132,0.1369,1006.6418,1006.7787,544.6762,0.3945,1.0
tree_fr,8,cve_cm,cjt,0.0931391,0.5285782,0.0754396,0.39630429,0.1,0.794874,0.222261,0.1367,0.0731,0.2098,0.0103,0.3945,1.0
tree_fr,8,cve_cp,cjt,0.23362666,0.53565845,0.22347696,0.56601124,0.0625,2.874084,13.880072,0.1395,0.0593,0.1989,0.0061,0.3945,1.0
tree_fr,8,ibp,cjt,2.2e-07,1.43e-06,1.8e-07,1.37e-06,0.5,0.999969,0.000239,0.1424,0.0059,0.1483,0.0026,0.3945,1.0
tree_fr,9,approxlp,cjt,1.7e-07,1.25e-06,0.00127401,0.114645,0.633333,0.99874,0.012019,0.1542,0.3053,0.4595,0.0466,0.4382,1.0
tree_fr,9,ariel,cjt,2e-08,4.6e-07,1e-08,9e-08,0.533333,1.0,0.0,0.0,4.5467,4.5467,0.577,0.4382,
tree_fr,9,cve_cm,cjt,0.10776076,0.33076705,0.11171849,0.45943725,0.033333,0.728872,0.275964,0.1616,0.0952,0.2568,0.0152,0.4382,1.0
tree_fr,9,cve_cp,cjt,0.25621703,0.61812604,0.25778013,0.60677374,0.033333,1.516519,7.142757,0.1552,0.0755,0.2307,0.0083,0.4382,1.0
tree_fr,9,ibp,cjt,1.8e-07,1.29e-06,1.7e-07,1e-06,0.622222,1.000012,0.000103,0.1567,0.0066,0.1633,0.0049,0.4382,1.0
tree_fr,10,approxlp,cjt,0.00113862,0.0753957,9.799e-05,0.00945212,0.5,0.998712,0.007741,0.1697,0.4101,0.5799,0.0731,0.496,1.0
tree_fr,10,ariel,cjt,1e-08,2e-07,1e-08,2.2e-07,0.59,1.0,1e-06,0.0,6.1931,6.1931,0.9087,0.496,
tree_fr,10,cve_cm,cjt,0.10403578,0.40949538,0.12967239,0.50470995,0.04,0.729496,0.243188,0.1807,0.1214,0.3022,0.0151,0.496,1.0
tree_fr,10,cve_cp,cjt,0.28565423,0.59818806,0.29325507,0.61513206,0.04,1.53824,11.109157,0.1701,0.0919,0.262,0.0058,0.496,1.0
tree_fr,10,ibp,cjt,1.5e-07,1.2e-06,2.1e-07,1.12e-06,0.55,0.99999,9.9e-05,0.1675,0.0074,0.1749,0.0048,0.496,1.0
