graph_type,num_vars,algorithm,reference,mae_lb_error,std_lb_error,max_lb_error,mae_ub_error,std_ub_error,max_ub_error,containment_rate,mean_width_ratio,std_width_ratio,mean_build_time,mean_run_time,mean_total_time,std_total_time,ref_time,avg_induced_width
dag_fr_tw3,40,approxlp,cjt_any,0.00385652,0.01477919,0.16408943,0.00360097,0.01890733,0.187375,0.4425,0.992416,0.024313,1.4281,110.1932,111.6213,15.1226,14.2232,3.0
dag_fr_tw3,40,ariel,cjt_any,0.0009467,0.00460567,0.0461748,0.00335515,0.0312174,0.44268203,0.675,0.996477,0.068764,0.0,32.4336,32.4336,38.7129,14.2232,
dag_fr_tw3,40,cve_cm,cjt_any,0.31731676,0.15907921,0.6384359,0.36766362,0.20251382,0.63380388,0.025,0.298512,0.306805,1.0915,1135.1943,1136.2858,0.0,14.2232,3.0
dag_fr_tw3,40,cve_cp,cjt_any,0.4036148,0.13325678,0.60864769,0.46955898,0.15536544,0.74750269,0.0,0.112464,0.257371,1.094,855.1713,856.2653,0.0,14.2232,3.0
dag_fr_tw3,40,ibp,cjt_any,0.00188633,0.00813595,0.08081445,0.00178517,0.00726294,0.07837765,0.48,0.998447,0.013165,1.3484,0.1658,1.5142,0.1278,14.2232,3.0
dag_fr_tw3,50,approxlp,cjt_any,0.00366795,0.01727947,0.194016,0.00318563,0.01483307,0.180942,0.482,0.993032,0.023769,1.6489,238.851,240.4999,28.1736,23.2142,3.0
dag_fr_tw3,50,ariel,cjt_any,0.0011106,0.01223503,0.19236811,0.00081219,0.00632386,0.09990615,0.6,1.002159,0.016668,0.0,24.8562,24.8562,4.0059,23.2142,
dag_fr_tw3,50,cve_cm,cjt_any,0.37562662,0.18074555,0.80887586,0.39146517,0.18783738,0.74538003,0.02,0.201061,0.303221,1.5402,194.3991,195.9393,0.0,23.2142,3.0
dag_fr_tw3,50,cve_cp,cjt_any,0.4173875,0.14984273,0.66357132,0.42829044,0.16298038,0.7827366,0.02,0.171544,0.493423,1.463,148.2413,149.7043,0.0,23.2142,3.0
dag_fr_tw3,50,ibp,cjt_any,0.00271421,0.01240868,0.15697925,0.00202059,0.00799652,0.09433689,0.43,0.997093,0.016641,1.6678,0.2025,1.8703,0.1546,23.2142,3.0
dag_fr_tw3,100,approxlp,cjt_any,0.00301093,0.01672211,0.17576773,0.00238101,0.01421553,0.160053,0.612,0.994535,0.021962,2.9951,3278.9858,3281.9809,269.8485,80.2101,3.0
dag_fr_tw3,100,ariel,cjt_any,0.00133128,0.00962856,0.13098783,0.00098192,0.00826057,0.16796238,0.571,1.002607,0.015817,0.0,56.2141,56.2141,7.9704,80.2101,
dag_fr_tw3,100,ibp,cjt_any,0.00133899,0.00619216,0.06562626,0.00115938,0.00635386,0.09331623,0.683,1.000075,0.010257,3.3445,0.4041,3.7485,0.2007,80.2101,3.0
