instance,algorithm,reference,mae_lb_error,std_lb_error,max_lb_error,mae_ub_error,std_ub_error,max_ub_error,containment_rate,mean_width_ratio,build_time,run_time,total_time,ref_time,avg_induced_width
maintenance_scaling_n6_1.lcn,cjt,cjt_l,2e-08,1e-08,4e-08,1e-08,0.0,1e-08,1.0,1.0,0.0053,0.4547,0.46,0.2792,3.0
maintenance_scaling_n6_1.lcn,cve,cjt_l,0.10289033,0.07286662,0.212,0.40167578,0.22318812,0.65744558,1.0,3.636476,0.1387,789.7696,789.9083,0.2792,2.0
maintenance_scaling_n6_1.lcn,cve_cm,cjt_l,0.10209042,0.07100356,0.212,0.26847488,0.15987708,0.43892876,0.666667,2.488525,0.1418,0.0464,0.1882,0.2792,2.0
maintenance_scaling_n6_1.lcn,cve_cp,cjt_l,0.14701185,0.10691856,0.34247138,0.19743522,0.06786767,0.30033176,0.166667,1.246017,0.1522,0.0402,0.1924,0.2792,2.0
maintenance_scaling_n6_1.lcn,ibp,cjt_l,0.10289033,0.07286662,0.212,0.40167579,0.22318812,0.65744558,1.0,3.636477,0.1467,0.0095,0.1562,0.2792,2.0
maintenance_scaling_n9_2.lcn,approxlp,cjt_l,0.14470229,0.09525605,0.28895902,0.47481578,0.24819391,0.76286932,1.0,5.710761,0.2141,0.4789,0.693,0.443,2.0
maintenance_scaling_n9_2.lcn,ariel,cjt_l,0.03976137,0.049634,0.12095902,0.0,0.0,0.0,1.0,1.457271,0.0,6.086,6.086,0.443,
maintenance_scaling_n9_2.lcn,cjt,cjt_l,4.25e-06,8.52e-06,2.754e-05,1e-08,0.0,1e-08,1.0,1.000042,0.0066,2.0005,2.0071,0.443,3.0
maintenance_scaling_n9_2.lcn,cve_cm,cjt_l,0.1095443,0.06985401,0.26303556,0.24374813,0.18583773,0.50001604,0.555556,2.989193,0.2006,0.1215,0.3221,0.443,2.0
maintenance_scaling_n9_2.lcn,cve_cp,cjt_l,0.1498916,0.08642315,0.33237734,0.17041025,0.14438455,0.37463287,0.111111,1.287936,0.2414,0.1123,0.3537,0.443,2.0
maintenance_scaling_n9_2.lcn,ibp,cjt_l,0.14466506,0.0952302,0.28895902,0.46622788,0.24276072,0.75164418,1.0,5.658431,0.232,0.021,0.253,0.443,2.0
paper_scaling_directions_n35_2.lcn,approxlp,cjt_l,0.15059737,0.06817602,0.264,0.446672,0.14080711,0.781,1.0,304.304559,7.5894,190.4843,198.0737,1342.1435,5.0
paper_scaling_directions_n35_2.lcn,ariel,cjt_l,0.00636471,0.02501733,0.14093508,0.00473051,0.02758337,0.16556784,0.914286,1.17703,0.0,36.5783,36.5783,1342.1435,
paper_scaling_directions_n35_2.lcn,cjt,cjt_l,6e-08,9e-08,3.4e-07,1e-08,1e-08,6e-08,1.0,1.000056,0.0165,103.0147,103.0312,1342.1435,6.0
paper_scaling_directions_n40_1.lcn,approxlp,cjt_l,0.12876139,0.06555037,0.292,0.26311899,0.13342102,0.48156591,1.0,4.425229,0.6984,50.5548,51.2532,3.2736,1.0
paper_scaling_directions_n40_1.lcn,ariel,cjt_l,0.0,1e-08,3e-08,0.0,0.0,0.0,1.0,1.0,0.0,34.717,34.717,3.2736,
paper_scaling_directions_n40_1.lcn,cjt,cjt_l,0.0,1e-08,3e-08,0.0,0.0,0.0,1.0,1.0,0.0137,3.4995,3.5132,3.2736,3.0
paper_scaling_directions_n40_1.lcn,cve_cm,cjt_l,0.06955648,0.06722761,0.27026262,0.05661715,0.03653478,0.16050344,0.3,1.197125,0.7384,658.0989,658.8373,3.2736,1.0
paper_scaling_directions_n40_1.lcn,cve_cp,cjt_l,0.1624969,0.09546969,0.35540041,0.10807377,0.06926734,0.27195655,0.15,0.705073,0.7262,667.0184,667.7446,3.2736,1.0
paper_scaling_directions_n40_1.lcn,ibp,cjt_l,0.12876139,0.06555037,0.292,0.26311897,0.13342103,0.48156591,1.0,4.425229,0.82,0.0886,0.9086,3.2736,1.0
supreme_court_judicial_power_credal_source_comparison_n10_1.lcn,ariel,cjt_l,0.05321216,0.06198917,0.19819787,0.12339977,0.24512563,0.851,0.0,0.823388,0.0,115.723,115.723,348.0666,
supreme_court_judicial_power_credal_source_comparison_n10_2.lcn,ariel,cjt_l,0.032107,0.04069918,0.149,0.11072398,0.24771027,0.851,0.0,0.857169,0.0,76.7169,76.7169,337.2339,
supreme_court_judicial_power_credal_source_comparison_n10_3.lcn,ariel,cjt_l,0.02586362,0.04137286,0.149,0.09715086,0.25140062,0.851,0.0,0.876986,0.0,527.9159,527.9159,426.9315,
supreme_court_judicial_power_dual_source_credal_n10_1.lcn,ariel,cjt_l,0.02586362,0.04137286,0.149,0.09715086,0.25140062,0.851,0.0,0.876986,0.0,523.641,523.641,435.7133,
supreme_court_judicial_power_release_comparison_n10_1.lcn,ariel,cjt_l,0.03166052,0.06241088,0.16361103,0.08595544,0.25502685,0.851,0.0,0.882384,0.0,68.0261,68.0261,346.1752,
supreme_court_judicial_power_release_comparison_n10_2.lcn,ariel,cjt_l,0.05321216,0.06198917,0.19819787,0.12339977,0.24512563,0.851,0.0,0.823388,0.0,117.305,117.305,337.9536,
supreme_court_judicial_power_release_comparison_n10_3.lcn,ariel,cjt_l,0.02586362,0.04137286,0.149,0.09715086,0.25140062,0.851,0.0,0.876986,0.0,562.7315,562.7315,426.7722,
supreme_court_judicial_power_source_variants_n10_1.lcn,ariel,cjt_l,0.03166052,0.06241088,0.16361103,0.08595544,0.25502685,0.851,0.0,0.882384,0.0,71.6401,71.6401,338.6492,
supreme_court_judicial_power_source_variants_n10_2.lcn,ariel,cjt_l,0.01758962,0.04421898,0.149,0.09131743,0.25357567,0.851,0.0,0.891093,0.0,70.5823,70.5823,357.8241,
