graph_type,num_vars,algorithm,reference,mae_lb_error,max_lb_error,mae_ub_error,max_ub_error,containment_rate,mean_width_ratio,std_width_ratio,mean_build_time,mean_run_time,mean_total_time,std_total_time,ref_time,avg_induced_width
tree_fr,10,approxlp,cjt,0.00053478,0.02148067,3.456e-05,0.00311748,0.54,0.99935,0.002932,238.9572,0.7573,239.7145,23.7718,0.6353,1.0
tree_fr,10,ariel,cjt,1e-08,1e-07,1e-08,1.6e-07,0.61,1.0,0.0,0.0,5.3699,5.3699,0.6487,0.6353,
tree_fr,10,cve_cm,cjt,0.09710925,0.35218976,0.09650127,0.45254254,0.01,0.77334,0.216545,238.494,0.814,239.308,22.9875,0.6353,1.0
tree_fr,10,cve_cp,cjt,0.27920387,0.56543847,0.23402679,0.59448301,0.08,5.072592,39.457382,239.5752,0.7866,240.3618,23.8179,0.6353,1.0
tree_fr,10,ibp,cjt,1.3e-07,1.1e-06,3e-07,1.04e-05,0.59,0.999984,0.000192,241.978,0.016,241.9941,23.309,0.6353,1.0
tree_fr,20,approxlp,cjt,0.00113145,0.10124027,0.00189366,0.09992573,0.64,0.996897,0.013619,471.2751,7.5332,478.8083,26.7921,1.429,1.0
tree_fr,20,ariel,cjt,1e-08,5.1e-07,1e-08,1.8e-07,0.515,1.0,0.0,0.0,15.7996,15.7996,1.4636,1.429,
tree_fr,20,cve_cm,cjt,0.22458947,0.59795768,0.22414115,0.64603397,0.01,0.508011,0.316183,464.1612,14.6496,478.8108,22.5325,1.429,1.0
tree_fr,20,cve_cp,cjt,0.35094891,0.60456313,0.33927782,0.67401214,0.025,0.934863,6.742209,460.1464,12.3947,472.5411,20.5825,1.429,1.0
tree_fr,20,ibp,cjt,1.1e-07,1.26e-06,1e-07,1e-06,0.715,1.000001,2.1e-05,477.3881,0.0341,477.4222,27.4764,1.429,1.0
tree_fr,30,approxlp,cjt,0.00357577,0.171287,0.00367739,0.1760595,0.566667,0.992574,0.027026,678.5691,25.9579,704.527,36.463,2.5829,1.0
tree_fr,30,ariel,cjt,2e-08,3.8e-07,2e-08,6.4e-07,0.44,1.0,0.0,0.0,24.1328,24.1328,3.2766,2.5829,
tree_fr,30,cve_cm,cjt,0.26887678,0.77402879,0.26949948,0.69793943,0.013333,0.420233,0.312079,664.8176,76.3184,741.136,106.1082,2.5829,1.0
tree_fr,30,cve_cp,cjt,0.38516963,0.72542749,0.37731211,0.65318355,0.013333,13.134222,222.445115,661.9429,61.925,723.8678,99.9873,2.5829,1.0
tree_fr,30,ibp,cjt,9e-08,1.42e-06,8e-08,1.46e-06,0.706667,1.000103,0.001831,681.9619,0.0556,682.0175,37.2366,2.5829,1.0
tree_fr,40,approxlp,cjt,0.00174648,0.19844608,0.00264001,0.186818,0.6075,0.995537,0.021625,919.0934,71.3972,990.4906,74.4185,3.9003,1.0
tree_fr,40,ariel,cjt,2e-08,1.06e-06,2e-08,5.9e-07,0.43,1.0,0.0,0.0,34.2062,34.2062,5.9709,3.9003,
tree_fr,40,cve_cm,cjt,0.33096213,0.71964323,0.33340118,0.76247344,0.005,0.305729,0.342713,899.9829,112.3682,1012.3511,177.6568,3.9003,1.0
tree_fr,40,cve_cp,cjt,0.41860626,0.69814615,0.40649692,0.71987616,0.005,0.309893,2.546834,905.2635,69.6535,974.917,124.317,3.9003,1.0
tree_fr,40,ibp,cjt,1.1e-07,1.68e-05,6e-08,1e-06,0.695,1.0,1.5e-05,936.9894,0.0827,937.0721,67.0949,3.9003,1.0
tree_fr,50,approxlp,cjt,0.00308316,0.17223938,0.00260035,0.17253912,0.638,0.994271,0.022512,995.7016,135.136,1130.8375,30.8992,5.9486,1.0
tree_fr,50,ariel,cjt,2e-08,3e-07,1e-08,2.2e-07,0.388,1.0,0.0,0.0,42.4061,42.4061,2.9444,5.9486,
tree_fr,50,cve_cm,cjt,0.37354727,0.76794471,0.37871956,0.77872818,0.01,0.224159,0.309085,961.3167,433.9987,1395.3155,380.4432,5.9486,1.0
tree_fr,50,cve_cp,cjt,0.44084138,0.75974653,0.43212043,0.7407152,0.006667,0.226478,1.570291,959.8397,374.1917,1334.0314,356.7466,5.9486,1.0
tree_fr,50,ibp,cjt,1e-07,1.81e-05,6e-08,1.37e-06,0.742,1.0,4e-06,1010.489,0.0854,1010.5745,35.3225,5.9486,1.0
tree_fr,100,approxlp,cjt,0.00366888,0.19494196,0.00335913,0.18964875,0.63375,0.992939,0.025846,1801.7712,1608.7168,3410.488,119.4882,16.2401,1.0
tree_fr,100,ariel,cjt,2e-08,1.59e-06,1e-08,3.9e-07,0.414,1.0,0.0,0.0,89.0943,89.0943,10.2089,16.2401,
tree_fr,100,ibp,cjt,3e-08,1.3e-06,3e-08,1.36e-06,0.787,1.0,7e-06,1886.6187,0.1554,1886.7741,50.2893,16.2401,1.0
