instance,algorithm,mae_lb_error,rmse_lb_error,max_lb_error,mae_ub_error,rmse_ub_error,max_ub_error,containment_rate,mean_width_ratio,build_time,run_time,total_time,exact_time,avg_induced_width
cancer.lcn,ccte_cm,0.04542217,0.05964717,0.10379999,0.03290526,0.03754124,0.05150867,0.4,1.376725,1.0276,0.1282,1.1558,0.4166,2.0
cancer.lcn,ibp,0.28529662,0.29752728,0.4129412,0.20903089,0.21432866,0.29999999,0.0,0.344656,1.1056,0.0174,1.123,0.4166,2.0
credit.lcn,approxlp,0.24640813,0.3212331,0.69499532,0.14594291,0.16304013,0.28818653,0.727273,22.27294,2.4822,0.7193,3.2015,6971.1453,3.0
credit.lcn,ariel,0.03368081,0.04390818,0.09499533,0.04900749,0.10173151,0.25998069,0.363636,4.832201,0.0,2.7494,2.7494,6971.1453,
credit.lcn,ccte_cm,0.10943662,0.17400316,0.50671457,0.09281291,0.11700123,0.25998068,0.090909,12.088254,2.3778,27.3902,29.768,6971.1453,3.0
credit.lcn,ibp,0.09186267,0.1083159,0.19499532,0.075531,0.09010867,0.20000001,0.0,0.654292,2.5011,0.6492,3.1503,6971.1453,3.0
earthquake.lcn,approxlp,0.00406162,0.00534955,0.00832299,3e-08,3e-08,5e-08,0.0,1.123951,1.0105,0.0515,1.062,0.3366,2.0
earthquake.lcn,ariel,3e-08,5e-08,1e-07,0.00062933,0.00081749,0.00119197,0.6,1.018538,0.0,0.7236,0.7236,0.3366,
earthquake.lcn,ccte,0.08330336,0.18036877,0.40320002,0.0811698,0.18150115,0.40584891,0.0,1.112724,1.0064,17.8089,18.8153,0.3366,2.0
earthquake.lcn,ccte_cm,0.08239764,0.18034153,0.40320002,0.08285618,0.18152733,0.40584891,0.0,1.039725,0.9427,0.0649,1.0076,0.3366,2.0
earthquake.lcn,ibp,0.38476404,0.40525362,0.49000001,0.38171726,0.39707955,0.47999999,0.0,0.520067,1.0194,0.0158,1.0352,0.3366,2.0
engine.lcn,approxlp,0.45133333,0.49620202,0.8,0.07844454,0.10413026,0.18,0.0,0.577117,2.2806,0.4843,2.7649,1059.536,2.0
engine.lcn,ariel,0.39222227,0.47402535,0.79999999,0.0786666,0.10186265,0.19999999,0.0,0.468454,0.0,2.538,2.538,1059.536,
engine.lcn,ccte_cm,0.48388624,0.51663272,0.8,0.13542602,0.15561772,0.2095008,0.0,0.472491,2.138,0.1482,2.2862,1059.536,2.0
engine.lcn,ibp,0.49444444,0.52613954,0.8,0.12107701,0.13360531,0.2,0.0,0.499065,2.2889,0.0448,2.3337,1059.536,2.0
hepatitis.lcn,approxlp,0.19550254,0.25308771,0.41474999,0.21928017,0.27121549,0.4208,0.0,1.082158,3.7891,1.0154,4.8045,5601.9061,3.0
hepatitis.lcn,ariel,0.14505983,0.21918264,0.41800002,0.12560008,0.20998479,0.42000005,0.2,0.681274,0.0,3.0295,3.0295,5601.9061,
hepatitis.lcn,ccte_cm,0.24584488,0.29451102,0.46666667,0.30716851,0.3314776,0.49894932,0.0,0.717613,3.7676,22.1865,25.9541,5601.9061,3.0
hepatitis.lcn,ibp,0.2642714,0.32966658,0.5,0.29166667,0.34658553,0.5,0.0,0.156724,3.9688,1.1989,5.1677,5601.9061,3.0
suicide.lcn,approxlp,0.25049301,0.32703284,0.7,0.10361464,0.12643649,0.2,0.0,0.655026,2.0506,0.5305,2.5811,5196.4448,2.0
suicide.lcn,ariel,0.25000005,0.37282703,0.69999999,0.09980005,0.14187459,0.29999999,0.1,0.576533,0.0,2.9682,2.9682,5196.4448,
suicide.lcn,ccte_cm,0.30987412,0.37022551,0.7,0.18960149,0.22986191,0.47560802,0.0,0.444071,2.0798,0.4101,2.4899,5196.4448,2.0
suicide.lcn,ibp,0.3548595,0.42677995,0.7,0.36345837,0.39188077,0.5,0.0,0.061682,2.2235,0.0671,2.2906,5196.4448,2.0
tank.lcn,approxlp,0.38172045,0.43094889,0.8,0.0568141,0.07466609,0.159976,0.1,0.912151,2.5484,0.9566,3.505,5709.8443,3.0
tank.lcn,ariel,0.39700002,0.4709671,0.79999999,0.11400004,0.1753853,0.39999999,0.2,0.450286,0.0,3.9135,3.9135,5709.8443,
tank.lcn,ccte_cm,0.44893233,0.48810179,0.8375,0.16062096,0.19892292,0.45,0.0,0.51596,2.5867,0.6315,3.2182,5709.8443,3.0
tank.lcn,ibp,0.47266812,0.50191657,0.8,0.29165675,0.34517357,0.5,0.0,0.141675,2.6938,0.0868,2.7806,5709.8443,3.0
toy.lcn,approxlp,0.08909999,0.16280798,0.32399999,0.07449999,0.10575914,0.16199996,0.5,1.650937,0.7338,0.0335,0.7673,0.1294,2.0
toy.lcn,ariel,3e-08,5e-08,1e-07,2e-08,5e-08,9e-08,0.75,1.0,0.0,0.4972,0.4972,0.1294,
toy.lcn,ccte,0.08909999,0.16280798,0.32399999,0.07449999,0.10575914,0.16199996,0.5,1.650937,0.7329,0.6433,1.3762,0.1294,2.0
toy.lcn,ccte_cm,0.07171666,0.13295031,0.26499999,0.03699074,0.05797848,0.10933329,0.25,1.334213,0.7279,0.0353,0.7632,0.1294,2.0
toy.lcn,ibp,0.1256029,0.16583563,0.30000001,0.15301455,0.18718,0.30000001,0.25,0.255652,0.8045,0.0144,0.8189,0.1294,2.0
