instance,algorithm,mae_lb_error,rmse_lb_error,max_lb_error,mae_ub_error,rmse_ub_error,max_ub_error,containment_rate,mean_width_ratio,build_time,run_time,total_time,exact_time,avg_induced_width
credit.lcn,ariel,0.03368081,0.04390818,0.09499533,0.04900749,0.10173151,0.25998069,0.363636,4.832201,0.0,2.7494,2.7494,6971.1453,
credit.lcn,ccte_cm,0.10943662,0.17400316,0.50671457,0.09281291,0.11700123,0.25998068,0.090909,12.088254,2.3778,27.3902,29.768,6971.1453,3.0
credit.lcn,ccte_e,0.13277176,0.23462749,0.69499532,0.17991655,0.25616797,0.70000001,0.0,2.889926,2.3221,17.3102,19.6323,6971.1453,3.0
credit.lcn,ibp,0.07545652,0.08939045,0.18999999,0.05977411,0.06708636,0.12308888,0.0,0.64974,2.5238,0.8451,3.3689,6971.1453,3.0
credit.lcn,ijgp_cm,0.01092584,0.02279543,0.07319317,0.08809053,0.11580394,0.2599807,0.454545,7.039592,2.5337,0.849,3.3827,6971.1453,3.0
credit.lcn,ijgp_cp,0.05634785,0.06702333,0.13883149,0.06364269,0.11724076,0.30172787,0.272727,5.646588,2.5205,0.8616,3.3821,6971.1453,3.0
credit.lcn,ijgp_e,0.23954413,0.31605789,0.69499532,0.09800226,0.12399158,0.25998068,0.363636,16.643661,2.466,9.8198,12.2858,6971.1453,3.0
earthquake.lcn,approxlp,0.00406164,0.00534958,0.00832304,6e-08,8e-08,1.2e-07,0.6,1.123955,0.9283,0.0545,0.9828,0.3366,2.0
earthquake.lcn,ariel,3e-08,5e-08,1e-07,0.00062933,0.00081749,0.00119197,0.6,1.018538,0.0,0.7236,0.7236,0.3366,
earthquake.lcn,ccte_cm,0.08239764,0.18034153,0.40320002,0.08285618,0.18152733,0.40584891,0.0,1.039725,0.9427,0.0649,1.0076,0.3366,2.0
earthquake.lcn,ccte_e,0.08330336,0.18036877,0.40320002,0.10509358,0.18431179,0.40584891,0.0,0.206849,0.9374,0.0066,0.944,0.3366,2.0
earthquake.lcn,ibp,0.38476405,0.40525363,0.49000001,0.38171727,0.39707956,0.47999999,0.0,0.520067,0.9428,0.0308,0.9736,0.3366,2.0
earthquake.lcn,ijgp_cm,0.00255973,0.00406769,0.00817301,0.00396222,0.00551361,0.00973506,0.0,1.013496,0.9941,0.111,1.1051,0.3366,2.0
earthquake.lcn,ijgp_cp,0.00328406,0.0047376,0.00802657,0.00081348,0.00120853,0.00253378,0.2,1.115842,0.9325,0.0525,0.985,0.3366,2.0
earthquake.lcn,ijgp_e,0.00406162,0.00534955,0.00832299,0.04079228,0.04950652,0.08434241,0.0,0.0,1.0,0.008,1.008,0.3366,2.0
engine.lcn,approxlp,0.45133333,0.49620202,0.8,0.07844454,0.10413026,0.18,0.0,0.577117,2.2551,0.4834,2.7385,1059.536,2.0
engine.lcn,ariel,0.39222227,0.47402535,0.79999999,0.0786666,0.10186265,0.19999999,0.0,0.468454,0.0,2.538,2.538,1059.536,
engine.lcn,ccte_cm,0.48388624,0.51663272,0.8,0.13542602,0.15561772,0.2095008,0.0,0.472491,2.138,0.1482,2.2862,1059.536,2.0
engine.lcn,ccte_e,0.48033333,0.51707822,0.8,0.14822231,0.21461548,0.552,0.0,0.537722,2.1257,0.9187,3.0444,1059.536,2.0
engine.lcn,ibp,0.49444444,0.52613954,0.8,0.12107701,0.13360531,0.2,0.0,0.499065,2.2637,0.0403,2.304,1059.536,2.0
engine.lcn,ijgp_cm,0.35794747,0.46921977,0.85,0.21828217,0.28603787,0.59997525,0.0,0.373827,2.295,7.7014,9.9964,1059.536,2.0
engine.lcn,ijgp_cp,0.37440242,0.46681661,0.81818182,0.2468239,0.2970918,0.58728886,0.0,0.320169,2.2797,17.1716,19.4513,1059.536,2.0
engine.lcn,ijgp_e,0.34666667,0.44860277,0.8,0.55022231,0.61071047,1.0,0.0,0.0,2.1485,0.1546,2.3031,1059.536,2.0
hepatitis.lcn,approxlp,0.14750317,0.21055077,0.4,0.18077792,0.25056309,0.4208,0.1,1.166109,5.0499,0.9155,5.9654,5601.9061,3.0
hepatitis.lcn,ariel,0.14505983,0.21918264,0.41800002,0.12560008,0.20998479,0.42000005,0.2,0.681274,0.0,3.0295,3.0295,5601.9061,
hepatitis.lcn,ccte_cm,0.24584488,0.29451102,0.46666667,0.30716851,0.3314776,0.49894932,0.0,0.717613,3.7676,22.1865,25.9541,5601.9061,3.0
hepatitis.lcn,ibp,0.20025985,0.2898287,0.5,0.25166667,0.32700769,0.5,0.1,0.262831,5.0095,1.3634,6.3729,5601.9061,3.0
hepatitis.lcn,ijgp_cm,0.76474015,0.81474471,1.0,0.89666667,0.91293179,1.0,0.0,-2.794198,5.034,3.4815,8.5155,5601.9061,3.0
hepatitis.lcn,ijgp_cp,0.76474015,0.81474471,1.0,0.89666667,0.91293179,1.0,0.0,-2.794198,5.1643,2.8404,8.0047,5601.9061,3.0
suicide.lcn,approxlp,0.22321599,0.30698181,0.7,0.088772,0.11778343,0.2,0.1,0.697145,2.3513,0.6144,2.9657,5196.4448,2.0
suicide.lcn,ariel,0.25000005,0.37282703,0.69999999,0.09980005,0.14187459,0.29999999,0.1,0.576533,0.0,2.9682,2.9682,5196.4448,
suicide.lcn,ccte_cm,0.30987412,0.37022551,0.7,0.18960149,0.22986191,0.47560802,0.0,0.444071,2.0798,0.4101,2.4899,5196.4448,2.0
suicide.lcn,ccte_e,0.2584972,0.33362192,0.7,0.2345988,0.32824052,0.79,0.0,0.448237,2.1386,389.1287,391.2673,5196.4448,2.0
suicide.lcn,ibp,0.33000001,0.41833001,0.7,0.35,0.39115215,0.5,0.1,0.1,2.3943,0.069,2.4633,5196.4448,2.0
suicide.lcn,ijgp_cm,0.26467769,0.32809693,0.7,0.14088013,0.16525751,0.2188,0.0,0.54832,2.3881,0.4015,2.7896,5196.4448,2.0
suicide.lcn,ijgp_cp,0.273289,0.32809472,0.68097722,0.1495343,0.18475524,0.29854506,0.0,0.561632,2.4193,0.3532,2.7725,5196.4448,2.0
suicide.lcn,ijgp_e,0.26405336,0.33962511,0.7,0.22556151,0.29866706,0.63808,0.0,0.483185,2.1806,0.3308,2.5114,5196.4448,2.0
tank.lcn,approxlp,0.2922,0.39966236,0.8,0.03803,0.05621004,0.1,0.3,0.954456,3.1568,0.8442,4.001,5709.8443,3.0
tank.lcn,ariel,0.39700002,0.4709671,0.79999999,0.11400004,0.1753853,0.39999999,0.2,0.450286,0.0,3.9135,3.9135,5709.8443,
tank.lcn,ccte_cm,0.44893233,0.48810179,0.8375,0.16062096,0.19892292,0.45,0.0,0.51596,2.5867,0.6315,3.2182,5709.8443,3.0
tank.lcn,ibp,0.46974359,0.50037231,0.8,0.2858077,0.34467764,0.5,0.0,0.150449,3.1114,0.0875,3.1989,5709.8443,3.0
tank.lcn,ijgp_cm,0.92,0.95078915,1.0,0.926,0.93614102,1.0,0.0,-2.003571,3.1458,0.4941,3.6399,5709.8443,3.0
tank.lcn,ijgp_cp,0.92,0.95078915,1.0,0.926,0.93614102,1.0,0.0,-2.003571,3.0756,0.4906,3.5662,5709.8443,3.0
toy.lcn,approxlp,0.08909999,0.16280798,0.32399999,0.07449999,0.10575914,0.16199996,0.5,1.650937,0.7444,0.034,0.7784,0.1294,2.0
toy.lcn,ariel,3e-08,5e-08,1e-07,2e-08,5e-08,9e-08,0.75,1.0,0.0,0.4972,0.4972,0.1294,
toy.lcn,ccte_cm,0.07171666,0.13295031,0.26499999,0.03699074,0.05797848,0.10933329,0.25,1.334213,0.7279,0.0353,0.7632,0.1294,2.0
toy.lcn,ccte_e,0.08909999,0.16280798,0.32399999,0.0515,0.08393448,0.16199996,0.25,1.425937,0.7302,0.107,0.8372,0.1294,2.0
toy.lcn,ibp,0.1256029,0.16583563,0.30000001,0.15301455,0.18718,0.30000001,0.25,0.255652,0.7617,0.0193,0.781,0.1294,2.0
toy.lcn,ijgp_cm,0.06667499,0.12527857,0.24999999,0.03535416,0.05035479,0.07916666,0.5,1.442298,0.74,0.0588,0.7988,0.1294,2.0
toy.lcn,ijgp_cp,0.07881933,0.12197227,0.23736263,0.03620661,0.03992868,0.06233765,0.5,1.424307,0.73,0.049,0.779,0.1294,2.0
toy.lcn,ijgp_e,0.08909999,0.16280798,0.32399999,0.04699999,0.08203656,0.16199996,0.5,1.513437,0.7072,0.0168,0.724,0.1294,2.0
