instance,algorithm,mae_lb_error,rmse_lb_error,max_lb_error,mae_ub_error,rmse_ub_error,max_ub_error,containment_rate,mean_width_ratio,build_time,run_time,total_time,exact_time,avg_induced_width
alarm.lcn,approxlp,0.17075791,0.27403108,0.64,0.08981162,0.11765652,0.26,0.1,1.043016,2.3498,0.7208,3.0706,5094.9902,2.0
alarm.lcn,ariel,0.06999985,0.20327319,0.64000009,0.08100005,0.11510868,0.26000006,0.3,0.76937,0.0,3.0091,3.0091,5094.9902,
alarm.lcn,ccte_e,0.17470983,0.26922606,0.6,0.22217,0.30896334,0.7264,0.0,0.638487,2.157,964.94,967.097,5094.9902,2.0
alarm.lcn,ibp,0.14259911,0.23075544,0.61666667,0.3158442,0.34473639,0.5,0.0,0.080557,2.258,0.0794,2.3374,5094.9902,2.0
alarm.lcn,ijgp_e,0.16913942,0.27191336,0.64,0.11864467,0.16826934,0.44,0.1,0.971,2.2267,414.2928,416.5195,5094.9902,2.0
asia.lcn,approxlp,2e-08,3e-08,5e-08,0.22275331,0.44748135,0.975,0.0,0.770563,1.6891,0.258,1.9471,87.8853,2.0
asia.lcn,ariel,0.01309222,0.02341729,0.05084447,0.26482853,0.4623116,0.97500005,0.5,1.988257,0.0,1.7002,1.7002,87.8853,
asia.lcn,ccte_e,0.05547721,0.12933707,0.35483281,0.25587313,0.41858128,0.989,0.0,0.321399,1.6553,0.0116,1.6669,87.8853,2.0
asia.lcn,ibp,0.31309496,0.34852755,0.48900001,0.29847758,0.36684307,0.63233382,0.0,0.084482,1.6892,0.0438,1.733,87.8853,2.0
asia.lcn,ijgp_e,0.00021632,0.00061178,0.00173038,0.25704501,0.47524072,0.989,0.0,0.604364,1.6014,0.0167,1.6181,87.8853,2.0
cancer.lcn,approxlp,0.06531077,0.07524542,0.12099999,0.02722899,0.0420511,0.07299999,0.6,1.736663,1.0445,0.0656,1.1101,0.4166,2.0
